BMF_column,col_title,code,desc,short_desc
INCOME_CD,Income Category,define,Income Codes relate to the amount of income shown on the most recent Form 990 series return. The parameters for selecting income codes are the same as for asset codes.,Income Codes relate to the amount of income shown on the most recent Form 990 series return. The parameters for selecting income codes are the same as for asset codes.
INCOME_CD,Income Category,0,0,0 ($)
INCOME_CD,Income Category,1,"1 - 9,999",to 1K ($)
INCOME_CD,Income Category,2,"10,000 - 24,999",10k to 24k ($)
INCOME_CD,Income Category,3,"25,000 - 99,999",25k to 100k ($)
INCOME_CD,Income Category,4,"100,000 - 499,999",100k to 500k($)
INCOME_CD,Income Category,5,"500,000 - 999,999",500k to 1M ($)
INCOME_CD,Income Category,6,"1,000,000 - 4,999,999",1M to 5M ($)
INCOME_CD,Income Category,7,"5,000,000 - 9,999,999",5M to 10M ($)
INCOME_CD,Income Category,8,"10,000,000 - 49,999,999",10M to 500M ($)
INCOME_CD,Income Category,9,"50,000,000 and greater",500M and more ($)
ASSET_CD,Asset Category,define,"Asset Codes relate to the amount of assets shown on the most recent Form 990 series return filed by the organization. Requesters may select organizations with a code equal to, equal to or greater than, or equal to or less than the asset code desired.","Asset Codes relate to the amount of assets shown on the most recent Form 990 series return filed by the organization. Requesters may select organizations with a code equal to, equal to or greater than, or equal to or less than the asset code desired."
ASSET_CD,Asset Category,0,0,0 ($)
ASSET_CD,Asset Category,1,"1 - 9,999",to 1K ($)
ASSET_CD,Asset Category,2,"10,000 - 24,999",10k to 24k ($)
ASSET_CD,Asset Category,3,"25,000 - 99,999",25k to 100k ($)
ASSET_CD,Asset Category,4,"100,000 - 499,999",100k to 500k($)
ASSET_CD,Asset Category,5,"500,000 - 999,999",500k to 1M ($)
ASSET_CD,Asset Category,6,"1,000,000 - 4,999,999",1M to 5M ($)
ASSET_CD,Asset Category,7,"5,000,000 - 9,999,999",5M to 10M ($)
ASSET_CD,Asset Category,8,"10,000,000 - 49,999,999",10M to 500M ($)
ASSET_CD,Asset Category,9,"≥ 50,000,000",50M and greater ($)
AFFILIATION,affiliation,define,Affiliation Code defines the organizational grouping. (eg. Independent or an affiliate),Affiliation Code defines the organizational grouping. (eg. Independent or an affiliate)
AFFILIATION,affiliation,0,Code Not Defined,Code Not Defined
AFFILIATION,affiliation,1,"Central - This code is used if the organization is a central type organization (no group exemption) of a National, Regional or Geographic grouping of organizations.",Central Org  - No Group Exmpt
AFFILIATION,affiliation,2,"Intermediate - This code is used if the organization is an intermediate organization (no group exemption) of a National, Regional or Geographic grouping of organizations (such as a state headquarters of a national organization).",Intermediate Org - No Group Exmpt
AFFILIATION,affiliation,3,"Independent - This code is used if the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Independent
AFFILIATION,affiliation,6,Central - This code is used if the organization is a parent (group ruling) and is not a church or 501(c)(1) organization.,"Central  - Group, not Church/501c3"
AFFILIATION,affiliation,7,"Intermediate - This code is used if the organization is an group exemption intermediate organization of a National, Regional or Geographic grouping of organizations.",Intermediate -Group Exmpt
AFFILIATION,affiliation,8,Central - This code is used if the organization is a parent (group ruling) and is a church or 501(c)(1) organization.,"(8) Central-Group Exmpt, Church/501c3"
AFFILIATION,affiliation,9,Subordinate - This code is used if the organization is a subordinate in a group ruling.,(9) Subordinate (in Group)
FOUNDATION,Foundation Type,define,"Foundation Code.  The program can select either the single foundation code requested from the following list, or one of the following ranges of codes:  02-04 2. 10-15 3. 16-18 4. 10-18","Foundation Code.  The program can select either the single foundation code requested from the following list, or one of the following ranges of codes:"
FOUNDATION,Foundation Type,0,All organizations except 501(c)(3),Not 501(c)(3)
FOUNDATION,Foundation Type,2,Private operating foundation exempt from paying excise taxes or investment income,Priv. Operating Found
FOUNDATION,Foundation Type,3,Private operating foundation (other),Priv. Operating Found (other)
FOUNDATION,Foundation Type,4,Private nonoperating foundation,Private Nonoperating Found
FOUNDATION,Foundation Type,9,Suspense,Found TBD (Suspense)
FOUNDATION,Foundation Type,10,Church,Church
FOUNDATION,Foundation Type,11,School,School
FOUNDATION,Foundation Type,12,Hospital or medical research organization,Hospital/Medical Research
FOUNDATION,Foundation Type,13,Organization which operates for benefit of college or university and is owned or operated by a governmental unit,"Gov, benefits College/U"
FOUNDATION,Foundation Type,14,Governmental unit,Governmental Unit
FOUNDATION,Foundation Type,15,Organization which receives a substantial part of its support from a governmental unit or the general public,Receives support from Gov or Public
FOUNDATION,Foundation Type,16,"Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.",Org with 1/3 income  rules
