major_city,uszip_county,inc_tot,np_cnt,inc_rank,nbr_np_rank,inc_rank_seq,np_cnt_rank_seq,dc_place,Count_Person,Median_Age_Person,dc_all_names,dc_name,dc_usCensusGeoId,dc_latitude,dc_longitude,dc_musicbrainzAreaId,dc_fips553,dc_wikidataId,dc_contained,dc_zip,dc_county,dc_county_name,cnty_sub_o_ind,NAME,cnty_sub_B01001_001E,cnty_sub_state,cnty_sub_county,county subdivision,cnty_sub_name,acs5_name,place_B01001_001E,state,acs5_place_fips,acs5_city,cnty_B01001_001E,state_fips,cnty_fips,county_name,state_name,city_population,city_pop_src
New York,New York County,296713236745.0,20896,1.0,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,"New York city, New York",8622467.0,36,51000,New York,1645867.0,36.0,061,New York County, New York,8622467.0,Census ACS5 Places
Brooklyn,Kings County,22840916762.0,15084,3.0,2.0,3,2,,,,,,,,,,,,,,,,443.0,"Brooklyn borough, Kings County, New York",2679620.0, New York,Kings County,10022,Brooklyn,,,,,,2679620.0,36.0,047,Kings County, New York,2679620.0,Census ACS5 County Subdivision
Bronx,Bronx County,16289411330.0,3971,4.0,3.0,4,3,,,,,,,,,,,,,,,,43.0,"Bronx borough, Bronx County, New York",1443229.0, New York,Bronx County,08510,Bronx,,,,,,1443229.0,36.0,005,Bronx County, New York,1443229.0,Census ACS5 County Subdivision
Buffalo,Erie County,10605852252.0,3837,8.0,4.0,8,4,geoId/3611000,278349.0,33.9,['Buffalo'],Buffalo,1600000US3611000,42.892492,-78.849444444444,7e5e7fd7-c1eb-4cb8-87e2-fb1c0eda9e48,36-11000,Q40435,"['geoId/36', 'geoId/36029']",,geoId/36029,Erie County,286.0,"Buffalo city, Erie County, New York",276688.0, New York,Erie County,11000,Buffalo,"Buffalo city, New York",276688.0,36,11000,Buffalo,951232.0,36.0,029,Erie County, New York,276688.0,Census ACS5 County Subdivision
Rochester,Monroe County,16159484492.0,2753,5.0,5.0,5,5,geoId/3663000,211328.0,32.9,['Rochester'],Rochester,1600000US3663000,43.165555555556,-77.611388888889,17203e02-355a-40db-a524-980192eb9d0f,36-63000,Q49218,"['geoId/36', 'geoId/36055']",,geoId/36055,Monroe County,511.0,"Rochester city, Monroe County, New York",210992.0, New York,Monroe County,63000,Rochester,"Rochester city, New York",210992.0,36,63000,Rochester,756406.0,36.0,055,Monroe County, New York,210992.0,Census ACS5 County Subdivision
Albany,Albany County,15342991990.0,2163,6.0,6.0,6,6,geoId/3601000,99224.0,31.6,['Albany'],Albany,1600000US3601000,42.65,-73.766666666667,1789b8b7-dfc4-409a-8916-25cde916e311,36-01000,Q24861,"['geoId/36', 'geoId/36001']",,geoId/36001,Albany County,0.0,"Albany city, Albany County, New York",99692.0, New York,Albany County,01000,Albany,"Albany city, New York",99692.0,36,01000,Albany,315041.0,36.0,001,Albany County, New York,99692.0,Census ACS5 County Subdivision
Staten Island,Richmond County,2059545582.0,1680,15.0,7.0,15,7,,,,,,,,,,,,,,,,726.0,"Staten Island borough, Richmond County, New York",492925.0, New York,Richmond County,70915,Staten Island,,,,,,492925.0,36.0,085,Richmond County, New York,492925.0,Census ACS5 County Subdivision
Syracuse,Onondaga County,7508000138.0,1451,9.0,8.0,9,8,geoId/3673000,148620.0,31.7,['Syracuse'],Syracuse,1600000US3673000,43.040998,-76.143554,1fee56fe-5b76-4a50-bc63-37ee51d3300f,36-73000,Q128069,"['geoId/36', 'geoId/36067']",,geoId/36067,Onondaga County,597.0,"Syracuse city, Onondaga County, New York",146134.0, New York,Onondaga County,73000,Syracuse,"Syracuse city, New York",146134.0,36,73000,Syracuse,472637.0,36.0,067,Onondaga County, New York,146134.0,Census ACS5 County Subdivision
Flushing,Queens County,3297948443.0,1148,11.0,9.0,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
Jamaica,Queens County,2140089086.0,1033,14.0,10.0,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360826.0,36.0,081,Queens County, New York,,
